Location,Country,Category,Season,Visitors,Rating,Revenue,Accommodation_Available
Loc_1,Australia,Beach,High,113023,3.25,116965,0
Loc_2,France,Beach,Mid,147953,4.77,152043,0
Loc_3,Japan,Beach,Mid,106163,3.07,116182,0
Loc_4,France,Nature,Mid,141035,4.9,113159,0
Loc_5,USA,Cultural,Mid,116961,3.18,167875,0
Loc_6,Italy,Urban,Low,148687,4.52,130084,1
Loc_7,France,Cultural,High,136209,4.45,151672,0
Loc_8,Italy,Historical,High,137723,3.85,185715,1
Loc_9,USA,Nature,High,143393,2.91,159355,1
Loc_10,USA,Historical,Mid,148330,4.03,136121,1
Loc_11,India,Adventure,Low,124073,2.78,118996,1
Loc_12,USA,Historical,Mid,132003,4.46,194855,0
Loc_13,USA,Cultural,Low,120171,4.88,173872,0
Loc_14,India,Historical,Mid,122456,3.85,177130,0
Loc_15,India,Adventure,High,112873,2.92,136641,0
Loc_16,USA,Historical,High,113470,2.8,122375,0
Loc_17,Italy,Nature,High,164729,4.91,240722,1
Loc_18,Australia,Nature,Mid,128787,4.37,105918,0
Loc_19,Japan,Nature,Mid,133752,4.88,171685,0
Loc_20,India,Adventure,Low,97606,3.16,104965,0
Loc_21,India,Historical,High,116593,3.0,160990,0
Loc_22,Japan,Adventure,High,136905,2.56,151304,1
Loc_23,USA,Cultural,High,136484,4.71,204279,0
Loc_24,Italy,Beach,Mid,128677,2.91,144516,1
Loc_25,France,Beach,Mid,127850,4.03,133817,0
Loc_26,Japan,Beach,Low,151275,4.93,135897,1
Loc_27,France,Cultural,High,163579,4.58,176952,1
Loc_28,Japan,Historical,Mid,112212,3.21,94120,0
Loc_29,India,Adventure,Mid,168338,4.99,149203,1
Loc_30,Australia,Historical,High,113992,3.76,148718,0
Loc_31,India,Beach,Mid,117974,4.01,116652,0
Loc_32,USA,Nature,Mid,100435,2.54,115746,0
Loc_33,Italy,Cultural,High,139709,2.99,143081,1
Loc_34,Japan,Nature,High,164993,4.75,238709,1
Loc_35,Japan,Urban,High,113836,3.42,140208,0
Loc_36,Japan,Nature,Mid,138376,3.68,179707,1
Loc_37,USA,Adventure,High,158554,4.45,201006,1
Loc_38,Australia,Urban,Low,120557,4.01,104181,0
Loc_39,Italy,Adventure,Low,123657,3.93,101293,1
Loc_40,France,Adventure,Mid,153559,4.76,141345,1
Loc_41,USA,Cultural,Low,139317,4.55,117293,1
Loc_42,Japan,Cultural,Low,146334,4.56,158809,1
Loc_43,India,Urban,Mid,114447,3.35,158047,0
Loc_44,Italy,Historical,High,136753,4.28,147882,0
Loc_45,France,Nature,High,159184,4.32,219792,1
Loc_46,Australia,Beach,Mid,127772,4.35,181601,0
Loc_47,India,Urban,Mid,126675,2.52,142463,1
Loc_48,Italy,Nature,Low,142098,4.5,185861,1
Loc_49,France,Historical,Mid,136442,3.36,109599,1
Loc_50,France,Nature,High,133386,2.74,177969,1
Loc_51,France,Nature,Low,111627,3.7,109428,0
Loc_52,Australia,Cultural,Mid,140779,3.65,120579,1
Loc_53,France,Adventure,Low,129396,3.04,114288,1
Loc_54,Japan,Nature,Low,102249,2.96,112048,0
Loc_55,Italy,Historical,Mid,162555,4.78,210211,1
Loc_56,Italy,Adventure,Low,124300,4.85,105606,0
Loc_57,Australia,Urban,Mid,130007,4.71,142556,0
Loc_58,Japan,Beach,Mid,113363,3.27,129715,0
Loc_59,Japan,Cultural,Mid,111589,3.08,130666,0
Loc_60,Australia,Urban,Low,117404,3.96,135338,0
Loc_61,Italy,Nature,Mid,163243,4.6,236048,1
Loc_62,France,Cultural,Mid,122557,2.57,168119,1
Loc_63,India,Nature,High,122482,2.64,155968,0
Loc_64,Japan,Nature,High,156301,4.14,146429,1
Loc_65,Italy,Cultural,High,133064,4.85,118269,0
Loc_66,USA,Urban,Low,138343,4.28,171948,1
Loc_67,Italy,Beach,Mid,134390,4.57,173124,0
Loc_68,France,Beach,Mid,147169,4.45,159407,1
Loc_69,Australia,Adventure,Low,122650,4.7,163319,0
Loc_70,USA,Urban,High,133380,4.68,113753,0
Loc_71,France,Nature,High,170319,4.61,201021,1
Loc_72,Japan,Historical,Mid,122451,4.15,129972,0
Loc_73,India,Historical,Mid,111815,3.04,122947,0
Loc_74,USA,Beach,Mid,131553,4.51,187639,0
Loc_75,Japan,Nature,High,106031,2.64,141301,0
Loc_76,France,Beach,High,160270,4.66,161061,1
Loc_77,USA,Historical,Low,144675,3.9,147502,1
Loc_78,USA,Urban,Mid,126397,4.64,119940,0
Loc_79,Italy,Beach,High,160601,4.08,225661,1
Loc_80,Japan,Historical,Mid,152795,4.67,127373,1
Loc_81,Australia,Historical,Low,143129,4.55,159518,1
Loc_82,USA,Urban,Mid,159593,4.56,128572,1
Loc_83,India,Historical,High,117111,3.4,171124,0
Loc_84,India,Nature,Low,120390,2.98,118546,1
Loc_85,Italy,Urban,Low,115641,4.46,110479,0
Loc_86,USA,Cultural,Mid,140726,3.52,166291,1
Loc_87,Italy,Urban,Mid,148701,3.71,156300,1
Loc_88,Italy,Cultural,Mid,147772,3.85,161798,1
Loc_89,Italy,Nature,Low,115881,2.91,140704,1
Loc_90,Australia,Historical,High,145666,3.93,164086,1
Loc_91,USA,Nature,Mid,126007,3.82,111821,0
Loc_92,USA,Nature,Mid,138263,3.5,145735,1
Loc_93,France,Adventure,Low,103945,3.32,140738,0
Loc_94,Italy,Beach,Mid,120431,2.51,178033,1
Loc_95,Italy,Beach,High,151574,3.96,167920,1
Loc_96,Italy,Adventure,Low,126215,3.17,185535,1
Loc_97,Italy,Cultural,High,147009,3.34,135861,1
Loc_98,India,Beach,High,129294,2.85,145139,1
Loc_99,USA,Cultural,Mid,127053,4.48,124616,0
Loc_100,Italy,Historical,Low,121412,3.53,108927,1
Loc_101,USA,Beach,Mid,137462,3.24,169501,1
Loc_102,Japan,Adventure,High,153612,3.5,182217,1
Loc_103,Italy,Beach,High,136167,2.73,185648,1
Loc_104,USA,Urban,High,116929,3.2,160588,0
Loc_105,Australia,Cultural,Mid,100533,2.8,86022,0
Loc_106,France,Adventure,High,164197,4.56,132605,1
Loc_107,Italy,Adventure,High,144858,3.73,190295,1
Loc_108,Japan,Historical,Mid,144827,3.81,207785,1
Loc_109,Italy,Historical,Low,162109,4.89,149108,1
Loc_110,USA,Beach,High,179509,5.0,173403,1
Loc_111,Australia,Cultural,Low,126312,3.56,120812,1
Loc_112,India,Urban,Low,119140,2.75,140110,1
Loc_113,Australia,Urban,Mid,160345,4.71,148496,1
Loc_114,India,Urban,High,107323,2.84,105605,0
Loc_115,Australia,Cultural,Low,129459,3.83,165223,1
Loc_116,Italy,Beach,Low,115887,3.8,119623,0
Loc_117,India,Nature,Mid,164630,4.95,170320,1
Loc_118,USA,Cultural,Low,146460,4.64,162902,1
Loc_119,Australia,Adventure,Low,149747,4.36,209822,1
Loc_120,USA,Cultural,Mid,135329,3.72,140392,1
Loc_121,India,Adventure,High,127573,3.68,139857,0
Loc_122,Italy,Beach,High,120818,3.09,149511,0
Loc_123,Australia,Adventure,Low,104167,3.32,92276,0
Loc_124,USA,Urban,High,127741,2.53,186577,1
Loc_125,Italy,Urban,Mid,143598,4.18,183022,1
Loc_126,Japan,Historical,Mid,134100,3.42,168886,1
Loc_127,Australia,Beach,Mid,136048,4.48,203575,0
Loc_128,Japan,Adventure,Mid,124117,3.95,110498,0
Loc_129,USA,Cultural,High,127137,3.89,179507,0
Loc_130,Japan,Cultural,High,148337,3.56,214518,1
Loc_131,Japan,Cultural,Mid,141346,4.05,199774,1
Loc_132,Italy,Adventure,High,169033,4.5,169254,1
Loc_133,Japan,Historical,Mid,97164,2.94,118577,0
Loc_134,Italy,Cultural,High,112729,3.01,103621,0
Loc_135,India,Beach,High,149354,3.3,120539,1
Loc_136,Australia,Urban,Mid,143809,4.16,198053,1
Loc_137,Japan,Nature,High,130363,4.08,189053,0
Loc_138,Japan,Historical,Mid,162679,4.73,203690,1
Loc_139,Japan,Nature,Low,126481,3.23,164456,1
Loc_140,Japan,Historical,Low,98035,2.66,109471,0
Loc_141,India,Cultural,Mid,151529,3.6,215403,1
Loc_142,India,Adventure,Mid,119065,4.03,153943,0
Loc_143,USA,Historical,High,142784,2.98,192526,1
Loc_144,India,Adventure,High,162835,4.28,139412,1
Loc_145,India,Nature,Low,143526,4.03,115625,1
Loc_146,Japan,Beach,High,146983,4.94,160123,0
Loc_147,France,Cultural,Mid,142031,3.27,115931,1
Loc_148,France,Historical,Mid,100977,2.86,121523,0
Loc_149,Australia,Adventure,Low,115716,4.56,97274,0
Loc_150,Australia,Beach,Low,157665,4.65,144130,1
Loc_151,India,Beach,Low,121648,2.95,181827,1
Loc_152,USA,Adventure,High,131891,3.16,184390,1
Loc_153,India,Beach,Mid,152132,4.17,182784,1
Loc_154,France,Beach,High,136958,2.75,151517,1
Loc_155,Japan,Nature,Mid,129748,4.19,134801,0
Loc_156,Japan,Cultural,Mid,129218,2.71,137259,1
Loc_157,USA,Cultural,Low,138067,4.29,114894,1
Loc_158,France,Urban,Mid,105014,3.64,135048,0
Loc_159,Italy,Nature,Mid,143801,4.53,138285,1
Loc_160,USA,Historical,High,162292,4.59,189058,1
Loc_161,Australia,Cultural,Mid,136051,4.78,162512,0
Loc_162,Japan,Cultural,Mid,125748,4.72,147603,0
Loc_163,Italy,Historical,High,148773,3.73,202667,1
Loc_164,USA,Nature,Mid,159274,4.74,219255,1
Loc_165,USA,Beach,Mid,139169,3.19,111695,1
Loc_166,India,Cultural,Mid,162466,4.86,134389,1
Loc_167,USA,Nature,Mid,156712,4.04,176899,1
Loc_168,Italy,Adventure,High,140102,2.79,143320,1
Loc_169,USA,Cultural,High,169259,4.82,162244,1
Loc_170,India,Cultural,Low,106714,3.65,144333,0
Loc_171,Australia,Urban,Mid,105025,2.81,125611,0
Loc_172,USA,Urban,Low,140381,4.63,191150,1
Loc_173,France,Historical,Low,145620,4.6,189857,1
Loc_174,Australia,Adventure,Low,128271,4.84,114887,0
Loc_175,France,Historical,Mid,136689,4.21,166495,0
Loc_176,France,Historical,Mid,116009,4.05,171158,0
Loc_177,Australia,Beach,Mid,157709,4.51,140584,1
Loc_178,USA,Urban,Low,133574,3.73,128285,1
Loc_179,Italy,Adventure,Mid,162940,4.87,243966,1
Loc_180,France,Adventure,Low,144603,4.42,126066,1
